Date,AI_Revenue_USD_Mn
2023-01-01,129.56
2023-01-02,128.37
2023-01-03,129.21
2023-01-04,128.29
2023-01-05,129.49
2023-01-06,129.8
2023-01-07,128.89
2023-01-08,129.8
2023-01-09,129.72
2023-01-10,128.9
2023-01-11,129.5
2023-01-12,129.38
2023-01-13,129.03
2023-01-14,129.23
2023-01-15,128.75
2023-01-16,129.61
2023-01-17,128.78
2023-01-18,129.52
2023-01-19,127.99
2023-01-20,129.4
2023-01-21,129.63
2023-01-22,128.98
2023-01-23,129.28
2023-01-24,128.19
2023-01-25,128.68
2023-01-26,129.03
2023-01-27,129.3
2023-01-28,129.59
2023-01-29,129.56
2023-01-30,129.7
2023-01-31,129.7
2023-02-01,129.61
2023-02-02,128.93
2023-02-03,129.42
2023-02-04,129.01
2023-02-05,129.07
2023-02-06,129.46
2023-02-07,128.85
2023-02-08,128.48
2023-02-09,128.97
2023-02-10,128.71
2023-02-11,129.07
2023-02-12,129.12
2023-02-13,128.96
2023-02-14,128.48
2023-02-15,129.02
2023-02-16,128.63
2023-02-17,129.46
2023-02-18,128.86
2023-02-19,129.05
2023-02-20,129.87
2023-02-21,128.93
2023-02-22,128.85
2023-02-23,129.25
2023-02-24,127.55
2023-02-25,128.38
2023-02-26,128.56
2023-02-27,128.13
2023-02-28,128.98
2023-03-01,129.65
2023-03-02,127.97
2023-03-03,128.71
2023-03-04,129.07
2023-03-05,128.46
2023-03-06,129.42
2023-03-07,129.49
2023-03-08,128.9
2023-03-09,129.03
2023-03-10,129.43
2023-03-11,128.94
2023-03-12,129.26
2023-03-13,129.13
2023-03-14,129.52
2023-03-15,129.21
2023-03-16,129.86
2023-03-17,129.4
2023-03-18,128.94
2023-03-19,128.53
2023-03-20,129.23
2023-03-21,129.76
2023-03-22,129.54
2023-03-23,129.47
2023-03-24,129.23
2023-03-25,129.11
2023-03-26,128.26
2023-03-27,129.25
2023-03-28,128.46
2023-03-29,128.71
2023-03-30,129.75
2023-03-31,128.66
2023-04-01,128.78
2023-04-02,128.45
2023-04-03,129.01
2023-04-04,128.3
2023-04-05,129.5
2023-04-06,129.02
2023-04-07,128.74
2023-04-08,128.5
2023-04-09,129.37
2023-04-10,129.24
2023-04-11,128.78
2023-04-12,129.69
2023-04-13,129.18
2023-04-14,129.11
2023-04-15,129
2023-04-16,129.21
2023-04-17,128.4
2023-04-18,129.13
2023-04-19,128.42
2023-04-20,128.84
2023-04-21,128.85
2023-04-22,128.74
2023-04-23,129.38
2023-04-24,129.44
2023-04-25,129.32
2023-04-26,130.2
2023-04-27,128.97
2023-04-28,128.52
2023-04-29,128.9
2023-04-30,129.94
2023-05-01,129.06
2023-05-02,128.45
2023-05-03,128.16
2023-05-04,128.34
2023-05-05,128.25
2023-05-06,127.92
2023-05-07,129.21
2023-05-08,129.27
2023-05-09,128.61
2023-05-10,129.55
2023-05-11,129.96
2023-05-12,128.49
2023-05-13,128.97
2023-05-14,128.63
2023-05-15,128.18
2023-05-16,129.54
2023-05-17,129.44
2023-05-18,129.16
2023-05-19,129.19
2023-05-20,128.83
2023-05-21,129.12
2023-05-22,128.6
2023-05-23,129.05
2023-05-24,129.29
2023-05-25,129.07
2023-05-26,129.01
2023-05-27,128.93
2023-05-28,129.47
2023-05-29,128.33
2023-05-30,128.93
2023-05-31,128.68
2023-06-01,129.08
2023-06-02,129.14
2023-06-03,128.12
2023-06-04,129.15
2023-06-05,129.39
2023-06-06,129.38
2023-06-07,128.33
2023-06-08,129.73
2023-06-09,129.8
2023-06-10,129.15
2023-06-11,128.62
2023-06-12,128.28
2023-06-13,128.02
2023-06-14,128.64
2023-06-15,128.63
2023-06-16,128.8
2023-06-17,128.73
2023-06-18,129.24
2023-06-19,128.77
2023-06-20,128.57
2023-06-21,129.31
2023-06-22,129.33
2023-06-23,128.4
2023-06-24,129.68
2023-06-25,129.68
2023-06-26,128.29
2023-06-27,129.45
2023-06-28,129.12
2023-06-29,129.65
2023-06-30,128.84
2023-07-01,129.21
2023-07-02,128.6
2023-07-03,129.23
2023-07-04,129.52
2023-07-05,128.8
2023-07-06,129.54
2023-07-07,129.5
2023-07-08,127.97
2023-07-09,128.32
2023-07-10,129.5
2023-07-11,129.45
2023-07-12,130.15
2023-07-13,128.65
2023-07-14,128.84
2023-07-15,128.88
2023-07-16,129.76
2023-07-17,128.77
2023-07-18,128.56
2023-07-19,128.96
